Time,Channel A,Channel B
(ms),(V),(V)

0.00716681,-3.06840500,0.08612204
0.00718281,-3.06240800,0.08612204
0.00719881,-3.05271900,0.08612204
0.00721481,-3.04195400,0.08612204
0.00723081,-3.03057300,0.08612204
0.00724681,-3.01888500,0.08612204
0.00726281,-3.00658200,0.08612204
0.00727881,-2.99351000,0.08612204
0.00729481,-2.97966900,0.08612204
0.00731081,-2.96444400,0.08612204
0.00732681,-2.94798900,0.08612204
0.00734281,-2.92999500,0.08612204
0.00735881,-2.91031000,0.08612204
0.00737481,-2.88862600,0.08612204
0.00739081,-2.86478800,0.08612204
0.00740681,-2.83849000,0.08612204
0.00742281,-2.80988600,0.08612204
0.00743881,-2.77835900,0.08612204
0.00745481,-2.74391000,0.08612204
0.00747081,-2.70638500,0.08612204
0.00748681,-2.66563100,0.08612204
0.00750281,-2.62149400,0.08612204
0.00751881,-2.57381900,0.08612204
0.00753481,-2.52276100,0.08612204
0.00755081,-2.46801200,0.08612204
0.00756681,-2.40941800,0.08612204
0.00758281,-2.34682600,0.08612204
0.00759881,-2.28038900,0.08612204
0.00761481,-2.20995300,0.08612204
0.00763081,-2.13551900,0.08612204
0.00764681,-2.05693300,0.08612204
0.00766281,-1.97434800,0.08612204
0.00767881,-1.88791800,0.08612204
0.00769481,-1.79749000,0.08612204
0.00771081,-1.70321700,0.08612204
0.00772681,-1.60510000,0.08612204
0.00774281,-1.50329100,0.08612204
0.00775881,-1.39794500,0.08612204
0.00777481,-1.28921600,0.08612204
0.00779081,-1.17725800,0.08612204
0.00780681,-1.06222300,0.08612204
0.00782281,-0.94442050,0.08612204
0.00783881,-0.82384970,0.08612204
0.00785481,-0.70097200,0.08612204
0.00787081,-0.57578740,0.08612204
0.00788681,-0.44875740,0.08612204
0.00790281,-0.32018950,0.08612204
0.00791881,-0.18992990,0.08612204
0.00793481,-0.05874754,0.08612204
0.00795081,0.07335753,0.08612204
0.00796681,0.20592400,0.08612204
